ID;TIME;SATISFACAO;ATIVIDADE;COMUNICACAO
Dev_201;maui;0.2341232961586119;0.0645809359963237;0.0410488742449203
Dev_203;aspire;0.1259840367373713;0.0644005423203563;0.2364085667215815
Dev_204;roslyn;0.1344098513011152;0.064186037840206;0.1151839648544755
Dev_206;csharplang;0.3706784386617099;0.0641343397606856;0.2900878638110928
Dev_207;installer;0.1002555762081783;0.064075833703615;0.2489017023613399
Dev_208;docs;0.1540870065498317;0.0626982819962277;0.1735310269082921
Dev_215;aspire;0.1625787942459996;0.0611791204078749;0.2035969247666117
Dev_217;razor;0.1570244733581164;0.0603958027138804;0.0735859417902251
Dev_219;aspnetcore;0.1941494069746857;0.0601895172397153;0.2107358594179022
Dev_220;project-system;0.0986988847583641;0.0601035649588132;0.0389895661724327
Dev_226;docs;0.1741901221455122;0.0582494237218617;0.136600768808347
Dev_227;INDEFINIDO;0.1297242874845104;0.0580764554514426;0.1415431081823174
Dev_231;aspire;0.157760223048327;0.057040480340887;0.1585667215815486
Dev_232;INDEFINIDO;0.1603159851301113;0.0569863622380968;0.0700164744645799
Dev_234;sdk;0.1776918481147104;0.0564992993129849;0.1742174629324547
Dev_243;runtime;0.138286090458488;0.053954285830418;0.1662548050521691
Dev_244;docs;0.1260187303402915;0.0536448840309335;0.1123009335529928
Dev_250;runtime;0.2665737298636926;0.0519231732258867;0.1486820428336079
Dev_258;aspnetcore;0.1871950511152415;0.0510998588860297;0.1180669961559582
Dev_260;efcore;0.165460701009028;0.0509178214684589;0.0849807797913234
Dev_261;aspnetcore;0.1167780908981892;0.0508239574029849;0.0733113673805601
Dev_270;msbuild;0.1372705622676578;0.0502569418237951;0.1149093904448105
Dev_271;EntityFramework.Docs;0.1513940520446096;0.0501822407691088;0.1036518396485447
Dev_274;roslyn;0.1442128967686587;0.0498219580148691;0.2235035694673256
Dev_275;INDEFINIDO;0.1789807930607185;0.0497553511191273;0.0801757276221856
Dev_276;INDEFINIDO;0.1288131423573146;0.0496596922794981;0.1286381109280615
Dev_279;EntityFramework.Docs;0.1853561169313957;0.0495052158703703;0.2392915980230642
Dev_280;INDEFINIDO;0.1274783147459726;0.049331203433979;0.0469522240527182
Dev_281;msbuild;0.109456319702602;0.0491074031554037;0.0845689181768259
Dev_292;INDEFINIDO;0.2058550185873605;0.0476572339032604;0.1836902800658978
Dev_301;runtime;0.1028810408921932;0.0467580408107461;0.0752333882482152
Dev_308;maintenance-packages;0.155363133556986;0.046080388045373;0.2988742449203734
Dev_309;runtime;0.1870353159851299;0.0460776989470977;0.0715266337177375
Dev_310;INDEFINIDO;0.103147622774408;0.0459940205360607;0.1687259747391543
Dev_311;runtime;0.240959783710713;0.0459558195223264;0.2240527182866557
Dev_314;installer;0.1573536245353158;0.0457089822028127;0.0697419000549148
Dev_315;runtime;0.1476801544180725;0.0455487811346061;0.1177924217462932
Dev_319;roslyn;0.2015566914498139;0.0448097891102983;0.0476386600768808
Dev_321;runtime;0.1948991993136972;0.044485080493557;0.1361889071938495
Dev_322;INDEFINIDO;0.1905204460966542;0.0442709109803873;0.0513454146073585
Dev_323;maintenance-packages;0.2199891573729863;0.0438953036182514;0.043931905546403
Dev_325;docfx;0.1000361420900453;0.0436408380900297;0.207440966501922
Dev_329;INDEFINIDO;0.1801743931773453;0.0429102437023618;0.1554091158704009
Dev_331;runtime;0.4736679058240395;0.0428615374098506;0.0459912136188907
Dev_332;efcore;0.3349210037174721;0.0428615374098506;0.2696320702910488
Dev_342;runtime;0.1576672862453531;0.042751259011712;0.1600768808347062
Dev_343;INDEFINIDO;0.2732574349442377;0.0426042211475273;0.1621361889071938
Dev_346;INDEFINIDO;0.1158244597063825;0.0423572840285582;0.1901427786930258
Dev_347;runtime;0.5467007434944237;0.0422239277624313;0.0689181768259198
Dev_348;runtime;0.2882331681123501;0.0420537257291771;0.1234211971444261
